,filename,tot_seconds,netpos_seconds,netpos_prop
246,5719779,285,120,0.42105263157894735
247,46993570,373,119,0.3190348525469169
248,69318645,144,54,0.375
249,18586745,268,-2,-0.007462686567164179
250,38435210,380,57,0.15
251,35549004,347,82,0.23631123919308358
252,45317471,301,154,0.5116279069767442
253,45672286,598,134,0.22408026755852842
254,37331814,447,51,0.11409395973154363
255,7986373,188,26,0.13829787234042554
256,2096801,174,-9,-0.05172413793103448
257,24761826,154,30,0.19480519480519481
258,14680058,183,-15,-0.08196721311475409
259,39930565,230,-32,-0.1391304347826087
260,38592896,494,39,0.07894736842105263
261,5590794,263,47,0.17870722433460076
262,21588872,266,139,0.5225563909774437
263,4563151,99,-52,-0.5252525252525253
264,3360465,120,-24,-0.2
265,29206246,366,-48,-0.13114754098360656
266,15308403,302,57,0.18874172185430463
267,21912108,194,109,0.5618556701030928
268,11624347,263,71,0.26996197718631176
269,5606582,281,100,0.35587188612099646
270,2416925,223,103,0.4618834080717489
271,66615043,223,55,0.24663677130044842
272,2484527,36,-1,-0.027777777777777776
273,53528548,536,118,0.22014925373134328
274,64628994,531,6,0.011299435028248588
275,2070650,270,32,0.11851851851851852
276,31767196,91,22,0.24175824175824176
277,49103211,64,-28,-0.4375
278,9381290,142,-28,-0.19718309859154928
279,19220265,167,85,0.5089820359281437
280,22263665,171,-21,-0.12280701754385964
281,14617344,216,78,0.3611111111111111
282,2660957,478,80,0.16736401673640167
283,29054710,420,93,0.22142857142857142
284,10562707,134,72,0.5373134328358209
285,35689362,526,145,0.27566539923954375
286,61824777,59,18,0.3050847457627119
287,51755767,187,-13,-0.06951871657754011
288,27216800,177,105,0.5932203389830508
289,33857379,377,27,0.07161803713527852
290,65174841,595,119,0.2
291,42422855,204,86,0.4215686274509804
292,60123325,586,155,0.2645051194539249
293,57234297,36,30,0.8333333333333334
294,27780333,227,28,0.12334801762114538
295,2352927,305,58,0.1901639344262295
296,10070088,463,148,0.31965442764578833
297,2200704,513,149,0.290448343079922
