filename,tot_seconds,netpos_seconds,netpos_prop,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like,dislike
7478714,529,299,0.5652173913043478,113236.0,6366.0,546.0,4221.0,3335.0,1526.0,0.0,0.0,271.0,0.0
32519,354,7,0.019774011299435,7668.0,6337.0,22.0,54.0,1.0,13.0,0.0,0.0,5.0,0.0
36806461,391,89,0.227621483375959,1611540.0,7780.0,3103.0,6485.0,29661.0,5368.0,0.0,11.0,48662.0,0.0
3928737,514,92,0.178988326848249,391229.0,6323.0,645.0,7656.0,6674.0,1840.0,0.0,22.0,1128.0,0.0
27623920,187,74,0.3957219251336898,,,,,,,,,,
65229729,444,43,0.0968468468468468,304950.0,8826.0,9191.0,7480.0,13154.0,704.0,0.0,0.0,25991.0,0.0
49282093,416,182,0.4375,2446204.0,8793.0,2798.0,8167.0,35397.0,4905.0,0.0,26.0,75689.0,0.0
664618,196,41,0.2091836734693877,491669.0,6236.0,697.0,5769.0,620.0,311.0,0.0,5.0,163.0,0.0
11902570,91,-29,-0.3186813186813186,236773.0,6414.0,2869.0,4866.0,1230.0,1062.0,0.0,0.0,835.0,0.0
68436803,240,143,0.5958333333333333,1093948.0,6955.0,2830.0,22392.0,74755.0,4885.0,0.0,13.0,118967.0,0.0
16549864,324,34,0.1049382716049382,,,,,,,,,,
7703641,241,16,0.0663900414937759,592226.0,6335.0,889.0,21094.0,27998.0,6156.0,0.0,25.0,5402.0,0.0
21419316,118,73,0.6186440677966102,1484894.0,6348.0,1159.0,46408.0,58137.0,20344.0,0.0,78.0,53302.0,0.0
7053720,232,46,0.1982758620689655,260924.0,6056.0,1553.0,9695.0,10027.0,4230.0,0.0,20.0,466.0,0.0
39728170,391,141,0.3606138107416879,2190251.0,7711.0,2785.0,7586.0,30311.0,6251.0,0.0,0.0,57645.0,0.0
45677150,283,44,0.1554770318021201,1424312.0,6542.0,1780.0,27366.0,80274.0,9490.0,0.0,9.0,109539.0,0.0
55694343,396,185,0.4671717171717172,1931812.0,7700.0,2539.0,6529.0,28551.0,3092.0,0.0,63.0,69969.0,0.0
2069728,193,58,0.3005181347150259,428568.0,5961.0,750.0,3256.0,907.0,103.0,0.0,12.0,127.0,0.0
58786205,344,9,0.0261627906976744,,,,,,,,,,
20481724,109,70,0.6422018348623854,305128.0,7013.0,5360.0,3249.0,258.0,392.0,0.0,0.0,2359.0,0.0
34055342,480,25,0.0520833333333333,1451310.0,6266.0,6362.0,15051.0,3429.0,8436.0,0.0,16.0,9688.0,0.0
51155053,351,104,0.2962962962962963,860617.0,6093.0,3519.0,13948.0,63027.0,1100.0,0.0,38.0,82469.0,0.0
7178707,265,0,0.0,378690.0,5778.0,1051.0,18671.0,33393.0,3378.0,0.0,14.0,2177.0,0.0
48521546,357,169,0.4733893557422969,1399313.0,6911.0,3281.0,9818.0,33972.0,8259.0,0.0,39.0,65056.0,0.0
39133882,81,27,0.3333333333333333,1925170.0,5760.0,3227.0,34326.0,41269.0,21218.0,0.0,0.0,57814.0,0.0
5655801,526,127,0.2414448669201521,461979.0,5725.0,981.0,12813.0,9646.0,3491.0,0.0,70.0,3375.0,0.0
22724957,238,67,0.2815126050420168,1474521.0,6282.0,869.0,32944.0,37243.0,19353.0,0.0,0.0,53253.0,0.0
53448699,520,194,0.3730769230769231,1822396.0,6930.0,2901.0,8702.0,32798.0,4051.0,0.0,48.0,69203.0,0.0
19593547,392,177,0.4515306122448979,246058.0,6553.0,2336.0,2398.0,20371.0,300.0,0.0,0.0,11613.0,0.0
4010487,145,-20,-0.1379310344827586,428867.0,5536.0,800.0,9356.0,7020.0,2983.0,0.0,8.0,698.0,0.0
4284663,141,52,0.3687943262411347,195089.0,5433.0,960.0,1578.0,1119.0,529.0,0.0,0.0,36.0,0.0
3325149,391,113,0.289002557544757,545451.0,5460.0,825.0,2429.0,532.0,5197.0,0.0,9.0,752.0,0.0
34027109,408,91,0.2230392156862745,1453573.0,6846.0,3251.0,8991.0,48726.0,12150.0,0.0,7.0,56789.0,0.0
71022162,520,196,0.3769230769230769,2254005.0,10339.0,2834.0,8236.0,40420.0,5242.0,0.0,28.0,98675.0,0.0
67151159,283,118,0.4169611307420495,1610589.0,10746.0,5172.0,19698.0,34440.0,18495.0,0.0,65.0,103327.0,0.0
32599997,202,46,0.2277227722772277,,,,,,,,,,
39209306,301,76,0.2524916943521594,1241677.0,10083.0,7939.0,5141.0,1553.0,437.0,0.0,0.0,15346.0,0.0
23445160,266,64,0.2406015037593984,176038.0,5380.0,3748.0,933.0,109.0,315.0,0.0,0.0,363.0,0.0
30861227,334,95,0.2844311377245509,666018.0,5798.0,4180.0,1142.0,4860.0,818.0,0.0,49.0,14971.0,0.0
44648000,330,111,0.3363636363636363,1470786.0,6415.0,2322.0,5933.0,24895.0,4403.0,0.0,19.0,49661.0,0.0
25631428,362,89,0.2458563535911602,227584.0,5374.0,1410.0,327.0,919.0,357.0,0.0,0.0,1887.0,0.0
